,x,y,z,d,x_err,y_err
0,0,0,0.0,0,0,0
1,0.6072528995573521,0.6072528995573521,0.013707783881744238,1,0.0,1.0
2,0.9108793511986732,0.30362644977867603,0.005615606525631673,-1,0.5,-0.5
3,0.986785963177681,0.07590661244466901,0.0013399222502194085,-1,0.125,-0.375
4,0.9962742887437344,-0.04744163295254111,-0.0008304818431879589,-1,0.015625,-0.203125
5,0.9992393888533115,0.014825510210357606,0.00025893190809298287,1,0.0048828125,0.1025390625
6,0.99970268830657,-0.01640072069130838,-0.00028630604338321397,-1,0.000762939453125,-0.051422119140625
7,0.999958947300911,-0.0007803662156220526,-1.3620537381799538e-05,1,0.0004220008850097656,0.025722980499267578
8,0.9999650493264198,0.007031813089270145,0.00012273053596548351,1,1.004338264465332e-05,0.012864787131547928
9,0.9999925158917904,0.0031256995862349868,5.455395848658351e-05,-1,4.523247480392456e-05,-0.00643243279773742
10,0.9999986179172993,0.0011725892254617065,2.0465539709970906e-05,-1,1.0050833225250244e-05,-0.0032163047580979764
11,0.9999997615814209,0.00019602806423790753,3.4213140670192794e-06,-1,1.8849968910217285e-06,-0.0016081621870398521
12,0.9999998584389687,-0.00029225306934677064,-5.1008007862872e-06,-1,1.564621925354004e-07,-0.0008040820102905855
13,0.9999999292194843,-4.811247890756931e-05,-8.397431691498356e-07,1,1.1920928955078125e-07,0.0004020410415250808
14,0.9999999366700649,7.395782449748367e-05,1.2907857029135551e-06,1,7.450580596923828e-09,0.00020102053531445563
15,0.9999999403953552,1.2922673704451881e-05,2.2552126688185975e-07,-1,7.450580596923828e-09,-0.00010051026765722781
16,0.9999999403953552,-1.7594902601558715e-05,-3.0711095113398786e-07,-1,0.0,-5.025513382861391e-05
17,0.9999999403953552,-2.336114448553417e-06,-4.079484212606406e-08,1,0.0,2.5127566914306954e-05
18,0.9999999403953552,5.293279627949232e-06,9.236321237789785e-08,1,0.0,1.2563783457153477e-05
19,0.9999999403953552,1.47858247601107e-06,2.5784185125916894e-08,-1,0.0,-6.281891728576738e-06
20,0.9999999403953552,-4.2876598627117346e-07,-7.505328500073583e-09,-1,0.0,-3.140945864288369e-06
21,0.9999999403953552,5.249082732916577e-07,9.139428312921656e-09,1,0.0,1.5704729321441846e-06
22,0.9999999403953552,4.8071129299387394e-08,8.170499064240369e-10,-1,0.0,-7.852364660720923e-07
23,0.9999999403953552,-1.903474355913204e-07,-3.3441392968247727e-09,-1,0.0,-3.9261823303604615e-07
24,0.9999999403953552,-7.113816025139386e-08,-1.2635446952003678e-09,1,0.0,1.9630911651802307e-07
25,0.9999999403953552,-1.1533515476003231e-08,-2.232473943881655e-10,1,0.0,9.815455825901154e-08
26,0.9999999403953552,1.826880691169208e-08,2.969012560179357e-10,1,0.0,4.9077286234933126e-08
27,0.9999999403953552,3.3676474942012646e-09,3.68269308148851e-11,-1,0.0,-2.4538643117466563e-08
28,0.9999999403953552,-4.0829331027225635e-09,-9.321023178664021e-11,-1,0.0,-1.2269321558733282e-08
29,0.9999999403953552,-3.576432483498593e-10,-2.8191650485877556e-11,1,0.0,6.134660779366641e-09
30,0.9999999403953552,1.505001456791888e-09,4.31764016450377e-12,1,0.0,3.0673295015049007e-09
31,0.9999999403953552,5.736788821764094e-10,-1.1937005160686893e-11,-1,0.0,-1.5336647507524503e-09
32,0.9999999403953552,1.0393401694841486e-09,-3.809682498091561e-12,1,0.0,7.66832819465435e-10
33,0.9999999403953552,1.2721708131380183e-09,2.539788332061041e-13,1,0.0,3.8341596564350766e-10
34,0.9999999403953552,1.1557554913110835e-09,-1.7778518324427288e-12,-1,0.0,-1.9170798282175383e-10
35,0.9999999403953552,1.2139631522245509e-09,-7.619364996183124e-13,1,0.0,9.585399141087692e-11
36,0.9999999403953552,1.2430678708597043e-09,-2.539788332061041e-13,1,0.0,4.792788388385816e-11
37,0.9999999403953552,1.2576188979096514e-09,0.0,1,0.0,2.396305376350938e-11
38,0.9999999403953552,1.2648948555238348e-09,1.2698941660305205e-13,1,0.0,1.198152688175469e-11
39,0.9999999403953552,1.2612568767167431e-09,6.349470830152603e-14,-1,0.0,-5.991651619297045e-12
40,0.9999999403953552,1.2594378873131973e-09,3.1747354150763013e-14,-1,0.0,-2.9949376312288223e-12
